,Unnamed: 0,eid,Author_ID,Affiliation_ID,cite,Auth_Ave_Cites,IsHigh
190,764,2-s2.0-71449125110,6701705865,60019939,0,not high,0
191,769,2-s2.0-38149000193,6506415063,60003858,5,not high,0
193,772,2-s2.0-38049009570,7007059643,60003858,0,not high,0
194,773,2-s2.0-41249100224,7007102355,60025135,28,high,1
196,783,2-s2.0-38149120506,8623907300,60002306,0,not high,0
198,787,2-s2.0-47649091687,6701323255,60003892,1,not high,0
199,790,2-s2.0-46449116074,7405855049,60014966,5,not high,0
200,792,2-s2.0-51149123030,6603438361,60001115,0,not high,0
201,795,2-s2.0-38149045083,7402091831,60017161,0,not high,0
202,799,2-s2.0-49949094603,12143441100,60014674,2,not high,0
203,803,2-s2.0-42549107938,6603803702,60010803,11,not high,0
209,897,2-s2.0-51849101958,8843300600,60029570,0,not high,0
211,904,2-s2.0-40949129121,6701514182,60033154,2,not high,0
212,906,2-s2.0-40949087188,15844117000,60010345,2,not high,0
215,909,2-s2.0-47649109220,8565487400,60021606,2,not high,0
223,920,2-s2.0-44949120588,55321463500,60023813,4,not high,0
225,923,2-s2.0-84887347472,6701789394,60022729,0,not high,0
227,925,2-s2.0-52249098107,15039176700,60020999,1,not high,0
230,938,2-s2.0-38349169319,55883414800,60001604,0,not high,0
231,939,2-s2.0-47349087257,21743470600,60027071,0,not high,0
233,947,2-s2.0-38049146002,7404394217,60018029,1,not high,0
234,950,2-s2.0-84869753601,7403345932,60002593,0,not high,0
235,957,2-s2.0-36849083542,7006169152,60000256,141,not high,0
238,973,2-s2.0-38349029219,7006556058,60024621,0,not high,0
239,974,2-s2.0-33847693072,7202946140,,0,not high,0
240,976,2-s2.0-38149075952,16229313100,60017697,1,not high,0
241,978,2-s2.0-38949084863,35444766700,60068684,0,not high,0
242,982,2-s2.0-51749086855,35585005300,60023760,0,not high,0
246,993,2-s2.0-84900943741,7404087297,60031004,0,not high,0
248,996,2-s2.0-34548560604,57192403748,60083088,2,not high,0
253,1003,2-s2.0-84900961769,6602554585,106744123,0,not high,0
254,1010,2-s2.0-38449089398,7201913109,60009861,1,not high,0
255,1011,2-s2.0-84900643601,7402179513,60028897,1,not high,0
256,1012,2-s2.0-84901539176,35787422600,60023004,0,not high,0
257,1015,2-s2.0-84900961962,55466734100,100773332,0,not high,0
258,1018,2-s2.0-47749085287,6701560256,60009081,38,not high,0
260,1021,2-s2.0-38149096356,35593077400,60020633,2,not high,0
261,1025,2-s2.0-53249156742,9742234400,60002636,11,not high,0
265,1029,2-s2.0-41449101433,6701632052,60003500,0,not high,0
266,1035,2-s2.0-38449110822,55316145700,60012038,7,not high,0
274,1057,2-s2.0-39749127805,6603416699,60013443,3,not high,0
276,1063,2-s2.0-44449093584,6603107587,60018741,8,not high,0
277,1066,2-s2.0-38149123945,6602119732,,0,not high,0
278,1068,2-s2.0-38049173082,7003491952,,0,not high,0
279,1084,2-s2.0-39149118351,35310158400,,0,not high,0
280,1092,2-s2.0-41149121623,55888435000,60002952,2,not high,0
281,1097,2-s2.0-84900924804,6602554585,106744123,0,not high,0
282,1103,2-s2.0-38149046626,24315928800,,0,not high,0
283,1106,2-s2.0-38349015067,23391251900,,0,not high,0
287,1115,2-s2.0-38149088692,7102330790,,0,not high,0
288,1118,2-s2.0-38149075383,55871602600,,0,not high,0
289,1123,2-s2.0-38149082754,8931059800,,0,not high,0
290,1125,2-s2.0-38149015341,55902201000,,0,not high,0
291,1127,2-s2.0-38049169185,7005162881,,0,not high,0
292,1134,2-s2.0-38149043337,15124528400,,0,not high,0
293,1142,2-s2.0-38149016954,7202837722,,0,not high,0
295,1156,2-s2.0-84871834720,7007102355,60025135,0,high,1
296,1157,2-s2.0-38149069653,8727141600,,0,not high,0
297,1160,2-s2.0-38049097799,6603685753,,0,not high,0
298,1169,2-s2.0-38049098678,55114865300,,0,not high,0
300,1173,2-s2.0-38149024799,6602208924,,0,not high,0
304,1183,2-s2.0-38049066978,55101098300,,0,not high,0
305,1194,2-s2.0-38049060539,7004413501,,0,not high,0
308,1201,2-s2.0-38449101191,55155712700,,0,not high,0
311,1223,2-s2.0-38049051212,35549460600,,0,not high,0
313,1241,2-s2.0-39149100664,7003837961,,0,not high,0
315,1245,2-s2.0-38049173995,7402644439,,0,not high,0
316,1257,2-s2.0-40449111098,7007126387,60005429,12,not high,0
318,1269,2-s2.0-84900945181,8957120500,60016849,0,not high,0
320,1286,2-s2.0-38149050513,7406280812,,0,not high,0
321,1293,2-s2.0-49949114022,6602166242,,0,not high,0
322,1294,2-s2.0-38049084041,13404099300,60031101,50,not high,0
326,1316,2-s2.0-38149030080,7003652550,,0,not high,0
330,1327,2-s2.0-34548074431,6603932250,,0,not high,0
332,1334,2-s2.0-38149098546,7402277726,,0,not high,0
333,1337,2-s2.0-40549138402,24352765400,,0,not high,0
335,1345,2-s2.0-38049162140,7005388617,,0,not high,0
336,1348,2-s2.0-38049017004,6701533535,,0,not high,0
337,1358,2-s2.0-38149007122,7005954982,,0,not high,0
338,1364,2-s2.0-38049093091,10245027700,,0,not high,0
339,1375,2-s2.0-38149120936,35310158400,,0,not high,0
340,1382,2-s2.0-38049110142,6701789394,,0,not high,0
343,1392,2-s2.0-38049136392,7007118808,,0,not high,0
344,1406,2-s2.0-37649019726,18539262100,60017705,16,not high,0
345,1415,2-s2.0-38049120156,55967713500,,0,not high,0
346,1419,2-s2.0-38349022236,6701493053,,0,not high,0
347,1436,2-s2.0-38349058651,6603333022,,0,not high,0
348,1439,2-s2.0-38049170868,55967713500,,0,not high,0
349,1452,2-s2.0-38049060468,55267534700,,0,not high,0
350,1457,2-s2.0-38149039426,35748800500,,0,not high,0
351,1462,2-s2.0-38149013905,15124528400,,0,not high,0
