eid,affiliation_id,affiliation_name,affiliation_country
2-s2.0-72749087480,60069719,Academy of Military Medical Science China,China
2-s2.0-72749085305,60007711,Jilin University,China
2-s2.0-72749094522,60019616,Harbin Institute of Technology,China
2-s2.0-72749094522,60025278,Tsinghua University,China
2-s2.0-72749089658,106942398,Beijing Vocational College of Electronic Science,China
2-s2.0-72749089658,60069724,National Institute for the Control of Pharmaceutical and Biological Products,China
2-s2.0-72749089658,100385381,Beijing Proteome Research Center,China
2-s2.0-72749089658,60073578,Chinese People's Armed Police Force Academy,China
2-s2.0-72749089658,60016835,Beijing Institute of Technology,China
2-s2.0-72749084166,60000174,Shaanxi Normal University,China
2-s2.0-72749084166,60022414,Wuhan University of Technology,China
2-s2.0-72749084166,60029306,Wuhan University,China
2-s2.0-72749118106,60003144,Dalian Jiaotong University,China
2-s2.0-72749118106,60004538,Dalian University of Technology,China
2-s2.0-72749106849,108140349,Education and Psychology Division,China
2-s2.0-72749106849,60026617,Northeast Agricultural University,China
2-s2.0-72749114607,60033100,Nanjing University,China
2-s2.0-72749098879,60003146,Henan University,China
2-s2.0-72749098879,60031248,Institute of Soil and Water Conservation Chinese Academy of Sciences,China
2-s2.0-72749113118,60024542,South China University of Technology,China
2-s2.0-72749113118,60021182,Sun Yat-Sen University,China
2-s2.0-72749100426,60005949,Central South University of Forestry &amp; Technology,China
2-s2.0-72749120849,60019616,Harbin Institute of Technology,China
2-s2.0-72749120849,60008264,Harbin Normal University,China
2-s2.0-72749093118,60018308,Xi'an Jiaotong University,China
2-s2.0-72749116239,60026553,University of Melbourne,Australia
2-s2.0-72749116239,60029420,NICTA,Australia
2-s2.0-72749093132,60016521,Sichuan University,China
2-s2.0-72749092707,106386052,Mediso Medical Imaging Systems,Hungary
2-s2.0-72749105402,60073652,Tongji University,China
2-s2.0-72749101234,106208573,QAU,China
2-s2.0-72749101234,60012223,Qingdao TechNological University,China
2-s2.0-72749095022,60008332,Nanchang University,China
2-s2.0-72749113592,60103801,University of Jinan,China
2-s2.0-72749127634,60073525,Guangdong College of Pharmacy,China
2-s2.0-72749127634,60017456,Jinan University,China
2-s2.0-72749110036,60019533,Tianjin University,China
2-s2.0-72749110036,60030788,Hiroshima University,Japan
2-s2.0-72749102477,60083498,Shandong Jianzhu University,China
2-s2.0-72749102477,60073652,Tongji University,China
2-s2.0-72749116710,60023237,Beijing Normal University,China
2-s2.0-72749116007,60007903,Hebrew University of Jerusalem,Israel
2-s2.0-72749116007,60022422,Ocean University of China,China
2-s2.0-72749124755,60025278,Tsinghua University,China
2-s2.0-72749127354,60010591,Huazhong Normal University,China
2-s2.0-72749096058,60022095,Taipei Medical University,Taiwan
2-s2.0-72749096974,60103284,China Academy of Chinese Medical Sciences,China
2-s2.0-72749114858,60013008,Anhui University of Science and Technology,China
2-s2.0-72749083384,60025761,Huazhong University of Science and Technology,China
2-s2.0-72749086155,60013983,City University of Hong Kong,China
2-s2.0-72749124988,107083796,Environmental Protection Bureau of Shandong Province,China
2-s2.0-72749124988,60031031,Shandong University,China
2-s2.0-72749115727,60015186,University of Saskatchewan,Canada
2-s2.0-72749090169,60018273,University of Science and Technology Beijing,China
2-s2.0-72749090169,60025278,Tsinghua University,China
2-s2.0-72749118772,60028891,Chang'an University,China
2-s2.0-72749118772,60026981,Xi'an University of Technology,China
2-s2.0-72749121558,60001800,Ferdowsi University of Mashhad,Iran
2-s2.0-72749109165,60002826,London Metropolitan University,United Kingdom
2-s2.0-72749109165,60010953,Donghua University,China
2-s2.0-72749109186,60007381,Yangzhou University,China
2-s2.0-72749109186,60007566,Louisiana State University,United States
2-s2.0-72749115475,60008928,Hong Kong Polytechnic University,China
2-s2.0-72749101972,60019611,University of the West of England,United Kingdom
2-s2.0-72749101972,105146134,Office for National Statistics,United Kingdom
2-s2.0-72749083180,60010080,Nanjing University of Science and Technology,China
2-s2.0-72749083180,60005244,Southeast University,China
2-s2.0-72749090822,60010421,Southwest Jiaotong University,China
2-s2.0-72749090141,60013551,China Agricultural University,China
2-s2.0-72749090141,60029608,Institute of Zoology Chinese Academy of Sciences,China
2-s2.0-72749097258,60000114,Shandong EcoNomic University,China
2-s2.0-72749097258,60007155,Guangdong University of Technology,China
2-s2.0-72749106365,60073675,China Institute for Radiation Protection,China
2-s2.0-72749119763,60006935,Northeast Forestry University,China
2-s2.0-72749119763,60001604,Ministry of Education China,China
2-s2.0-72749090325,60009884,Hebei Medical University,China
2-s2.0-72749090325,60025094,Hebei University of Science and Technology,China
2-s2.0-72749112587,60103801,University of Jinan,China
2-s2.0-72749119327,60027363,University of Chinese Academy of Sciences,China
2-s2.0-72749093579,100540550,Guangdong Vocational College of Mechanical and Electrical Technology,China
2-s2.0-72749093579,60002593,Southern Medical University,China
2-s2.0-72749126147,60104225,Jiangxi University of Science and Technology,China
2-s2.0-72749126147,60017060,Central South University China,China
2-s2.0-72749126896,60019616,Harbin Institute of Technology,China
2-s2.0-72749123175,60009860,Fudan University,China
2-s2.0-72749119522,60006935,Northeast Forestry University,China
2-s2.0-72749110282,60012771,Howard University,United States
2-s2.0-72749102728,60005949,Central South University of Forestry &amp; Technology,China
2-s2.0-72749093864,60103801,University of Jinan,China
2-s2.0-72749100056,108140052,Deptt. of ICE,India
2-s2.0-72749100056,60020898,Sant Longowal Institute of Engineering and Technology,India
2-s2.0-72749113060,60016835,Beijing Institute of Technology,China
2-s2.0-72749128054,108140317,"China Tobacco Hebei Industrial Co., Ltd.",China
2-s2.0-72749128054,60025094,Hebei University of Science and Technology,China
2-s2.0-72749088778,60021227,North China Electric Power University,China
2-s2.0-72749086193,60003970,Zhejiang University,China
2-s2.0-72749112639,106002760,China New Building Materials Industry Hangzhou Design and Research Institute,China
2-s2.0-72749112639,105291296,Zhejiang Industry Design and Research Institute,China
2-s2.0-72749112639,60019616,Harbin Institute of Technology,China
2-s2.0-72749112639,60026282,Zhejiang University of Technology,China
2-s2.0-72749128333,60032389,Hebei University of Technology,China
2-s2.0-72749117210,60012581,Zhejiang Gongshang University,China
2-s2.0-72749117210,60022422,Ocean University of China,China
2-s2.0-72749103929,60103801,University of Jinan,China
2-s2.0-72749126100,60025939,Yantai University,China
2-s2.0-72749126100,60004538,Dalian University of Technology,China
2-s2.0-72749120333,60073652,Tongji University,China
2-s2.0-72749110784,60019118,University of Science and Technology of China,China
2-s2.0-72749103723,60024542,South China University of Technology,China
2-s2.0-72749098864,60018015,Hebei Polytechnic University,China
2-s2.0-72749098864,60022281,Beijing University of Technology,China
2-s2.0-72749102756,60031041,Northwest A&amp;F University,China
2-s2.0-72749102756,60010196,Dezhou University,China
2-s2.0-72749111436,60004538,Dalian University of Technology,China
2-s2.0-72749124954,60003977,Northwestern Polytechnical University,China
2-s2.0-72749126913,60016521,Sichuan University,China
2-s2.0-72749092844,60025709,The University of Sydney,Australia
2-s2.0-72749126911,60019616,Harbin Institute of Technology,China
2-s2.0-72749102956,60019616,Harbin Institute of Technology,China
2-s2.0-72749102956,60029306,Wuhan University,China
2-s2.0-72749109435,60064143,Nanjing University of Information Science and Technology,China
2-s2.0-72749109114,60009409,"China University of Geosciences, Beijing",China
2-s2.0-72749105677,60073652,Tongji University,China
2-s2.0-72749105677,60029306,Wuhan University,China
2-s2.0-72749118303,60006019,"China University of Geosciences, Wuhan",China
2-s2.0-72749102789,60018743,Harbin University of Commerce,China
2-s2.0-72749115717,60022414,Wuhan University of Technology,China
