eid,affiliation_id,affiliation_name,affiliation_country
2-s2.0-84956750854,113357433,Biju Pattnaik University of Technology,India
2-s2.0-84956750854,60077979,Biju Patnaik University of Technology,India
2-s2.0-84891117764,60021331,Russian Academy of Sciences,Russian Federation
2-s2.0-84896733048,60018310,Nanjing Medical University,China
2-s2.0-84896705093,100343767,Systems Biology Institute,Japan
2-s2.0-84896705093,60103932,Okinawa Institute of Science and Technology Graduate University,Japan
2-s2.0-84896705093,60016648,Riken,Japan
2-s2.0-84881113852,60014340,SRM University,India
2-s2.0-84881113852,60079448,"SRM Arts and Science College, Chennai",India
2-s2.0-84881113852,60078092,"Asian Institute of Medicine, Science &amp; Technology",Malaysia
2-s2.0-84881113852,60013372,University of Texas at Austin,United States
2-s2.0-84881112497,60025292,USDA ARS Southern Regional Research Center,United States
2-s2.0-84881112497,60014475,Jimei University,China
2-s2.0-84896722092,60009860,Fudan University,China
2-s2.0-84891111694,60027373,Technical University of Cluj-Napoca,Romania
2-s2.0-84891056960,60022097,University of Chemical Technology and Metallurgy Sofia,Bulgaria
2-s2.0-84891087189,60024417,Universitatea Babes-Bolyai din Cluj-Napoca,Romania
2-s2.0-84891119329,114100148,Facultad de Ciencias Exactas y Aplicadas - ITM,Colombia
2-s2.0-84891119329,114100291,Estudiante X Semestre Ing.,Colombia
2-s2.0-84894214238,60020458,Jamia Millia Islamia,India
2-s2.0-84896707996,60016521,Sichuan University,China
2-s2.0-84896738994,112376440,CEINGE-Biotecnologie Avanzate,Italy
2-s2.0-84896738994,60007061,Universita di Salerno,Italy
2-s2.0-84896738994,60017293,Universita degli Studi di Napoli Federico II,Italy
2-s2.0-84896738994,60021199,Consiglio Nazionale delle Ricerche,Italy
2-s2.0-84896738994,60027548,"Universita degli Studi del Piemonte Orientale Amedeo Avogadro, Novara",Italy
2-s2.0-84890904150,60013959,University of Florida,United States
2-s2.0-84890904150,60010146,Universita degli Studi di Catania,Italy
2-s2.0-84890955135,60002999,University of Haifa,Israel
2-s2.0-84890955135,60022729,"Faculdade de Ciencias e Tecnologia, New University of Lisbon",Portugal
2-s2.0-84890897555,108178934,"Nongshim Co., Ltd",South Korea
2-s2.0-84890897555,60002877,Dankook University,South Korea
2-s2.0-84890897555,60001873,Kyung Hee University,South Korea
2-s2.0-84890931425,100474884,Suganthi Devadason Marine Research Institute,India
2-s2.0-84891368129,60057894,Chinese Academy of Medical Sciences,China
2-s2.0-84891368129,60013625,Institute of Biophysics Chinese Academy of Sciences,China
2-s2.0-84891368992,60001439,Pennsylvania State University,United States
2-s2.0-84890960557,60002763,University Utara Malaysia,Malaysia
2-s2.0-84890249421,60027646,University System of New Hampshire,United States
2-s2.0-84890249421,60005455,Yale University,United States
2-s2.0-84890862747,60026707,Capital Medical University China,China
2-s2.0-84890890287,113154523,Ostfalia University of Applied Sciences,Germany
2-s2.0-84890890287,60019118,University of Science and Technology of China,China
2-s2.0-84890890287,60033100,Nanjing University,China
2-s2.0-84890890287,60012704,Kyungpook National University,South Korea
2-s2.0-84890890287,60019702,University of Birmingham,United Kingdom
2-s2.0-84890890287,60003771,University of Manchester,United Kingdom
2-s2.0-84890878273,60028186,Ecole Polytechnique Federale de Lausanne,Switzerland
2-s2.0-84890878273,60011664,University of Wollongong,Australia
2-s2.0-84891402408,60012556,Universitat Marburg,Germany
2-s2.0-84891408224,60006281,University of South Carolina School of Medicine,United States
2-s2.0-84891031218,114125747,Ankur Healthcare Pvt Ltd.,India
2-s2.0-84891031218,112649165,Institute of Bioinformatics and Applied Biotechnology (IBAB),India
2-s2.0-84891031218,113111068,Shodhaka Life Sciences Pvt. Ltd.,India
2-s2.0-84891031218,60000163,International Institute of Information Technology Hyderabad,India
2-s2.0-84891031218,60020695,Manipal University Karnataka,India
2-s2.0-84890888617,60104661,Hebei United University,China
2-s2.0-84890887323,60104661,Hebei United University,China
2-s2.0-84890822991,113873905,International Society of Mathematical Chemistry,United States
2-s2.0-84890816214,60044573,Universidad de Pamplona,Colombia
2-s2.0-84890816214,60009875,University of Minnesota Duluth,United States
2-s2.0-84888200973,60019967,Agriculture et Agroalimentaire Canada,Canada
2-s2.0-84888200973,60018208,Washington State University Pullman,United States
2-s2.0-84888200973,60025709,The University of Sydney,Australia
2-s2.0-84888203601,60009921,"Istituto Di Virologia Vegetale, Turin",Italy
2-s2.0-84888203601,60028235,Agricultural Biotechnology Center Godollo,Hungary
2-s2.0-84888203601,60021199,Consiglio Nazionale delle Ricerche,Italy
