eid,affiliation_id,affiliation_name,affiliation_country
2-s2.0-38049161948,60092867,Korea Institute of Science and Technology Information,South Korea
2-s2.0-38049161948,60013682,Seoul National University,South Korea
2-s2.0-36749042030,60026195,The Scottish Association for Marine Science,United Kingdom
2-s2.0-84858487958,60005472,Bluefield State College,United States
2-s2.0-84858487958,60027090,Virginia Polytechnic Institute and State University,United States
2-s2.0-84858511527,60003488,Fort Valley State University,United States
2-s2.0-84858503835,60027090,Virginia Polytechnic Institute and State University,United States
2-s2.0-84858503835,60005472,Bluefield State College,United States
2-s2.0-37349108551,60006028,UNESP-Universidade Estadual Paulista,Brazil
2-s2.0-37349108551,60008088,Universidade de Sao Paulo - USP,Brazil
2-s2.0-37349041400,60015760,Pontificia Universidade Catolica do Rio Grande do Sul,Brazil
2-s2.0-37349041400,105298573,TECNOPUC,Brazil
2-s2.0-37349014523,60021606,Universidade Estadual do Ceara,Brazil
2-s2.0-84858512072,60009254,Purdue University,United States
2-s2.0-37349065612,60023932,University of Technology Sydney,Australia
2-s2.0-37349042217,60030074,Universidade Federal de Minas Gerais,Brazil
2-s2.0-37349042217,60008088,Universidade de Sao Paulo - USP,Brazil
2-s2.0-36048947403,100537494,Genomatix Software GmbH,Germany
2-s2.0-36048947403,60024007,Helmholtz Center Munich  German Research Center for Environmental Health,Germany
2-s2.0-36048947403,60002948,Fukushima Medical University,Japan
2-s2.0-36048947403,60009885,Tokai University,Japan
2-s2.0-36048947403,60033125,University of Leicester,United Kingdom
2-s2.0-36048947403,60028717,Ludwig-Maximilians-Universitat Munchen,Germany
2-s2.0-37349030190,60004739,Chungbuk National University,South Korea
2-s2.0-37349084966,60030074,Universidade Federal de Minas Gerais,Brazil
2-s2.0-37349084966,60069344,Centro Universitario de Belo Horizonte,Brazil
2-s2.0-37349039010,60016605,Charles University in Prague,Czech Republic
2-s2.0-84858483521,60018969,University of New Haven,United States
2-s2.0-37349071519,60085158,Infobright Inc.,Canada
2-s2.0-37349071519,60027964,Polsko-Japonska Wyzsza Szkola Technik Komputerowych,Poland
2-s2.0-84988591378,60007278,UC Irvine,United States
2-s2.0-41049089044,60023202,"Bioinformatics Institute, A-Star, Singapore",Singapore
2-s2.0-41049089044,60002441,Baylor College of Medicine,United States
2-s2.0-37349127372,60026553,University of Melbourne,Australia
2-s2.0-37349127372,60009825,Ludwig Institute for Cancer Research Melbourne,Australia
2-s2.0-37349127372,60029470,Commonwealth Scientific and Industrial Research Organization,Australia
2-s2.0-40549117909,60021783,Nantong University,China
2-s2.0-38749134080,60014966,Peking University,China
2-s2.0-37249048033,60021062,Tunghai University,Taiwan
2-s2.0-37249048033,60025297,National Center for High-Performance Computing Taiwan,Taiwan
2-s2.0-37249038031,NaN,NaN,NaN
2-s2.0-37249001273,NaN,NaN,NaN
2-s2.0-37249067061,NaN,NaN,NaN
2-s2.0-37249032559,NaN,NaN,NaN
2-s2.0-37249090728,NaN,NaN,NaN
2-s2.0-37249035119,NaN,NaN,NaN
2-s2.0-37249020943,NaN,NaN,NaN
2-s2.0-37249023727,NaN,NaN,NaN
2-s2.0-37249001283,NaN,NaN,NaN
2-s2.0-37249078153,NaN,NaN,NaN
2-s2.0-37249054669,NaN,NaN,NaN
2-s2.0-37249093563,NaN,NaN,NaN
2-s2.0-37249012025,NaN,NaN,NaN
2-s2.0-37249025126,NaN,NaN,NaN
2-s2.0-37249045601,NaN,NaN,NaN
2-s2.0-37249075041,NaN,NaN,NaN
2-s2.0-37249003780,NaN,NaN,NaN
2-s2.0-37249048390,NaN,NaN,NaN
2-s2.0-37249072490,NaN,NaN,NaN
2-s2.0-37249049879,NaN,NaN,NaN
2-s2.0-37249089783,NaN,NaN,NaN
2-s2.0-37249059329,NaN,NaN,NaN
2-s2.0-37249071408,NaN,NaN,NaN
2-s2.0-37249065355,NaN,NaN,NaN
2-s2.0-37249013422,NaN,NaN,NaN
2-s2.0-37249077409,NaN,NaN,NaN
2-s2.0-84857627644,NaN,NaN,NaN
2-s2.0-37249046051,NaN,NaN,NaN
2-s2.0-37249068521,60010146,Universita degli Studi di Catania,Italy
2-s2.0-37249068521,60028218,Alma Mater Studiorum Universita di Bologna,Italy
2-s2.0-37249069367,100808327,"Time Biomedics Corporation, Ltd.",China
2-s2.0-37249069367,60102097,BGI-Shenzhen,China
2-s2.0-37249069367,60030270,Guangxi University,China
2-s2.0-37249069367,60024542,South China University of Technology,China
2-s2.0-37249029202,60030318,Universita degli Studi di Milano,Italy
2-s2.0-37249048357,60012771,Howard University,United States
2-s2.0-37249048357,60005232,University of Maryland Eastern Shore,United States
2-s2.0-37249092973,60025488,University of Utah,United States
2-s2.0-37249092973,60010065,University of Arizona,United States
2-s2.0-37249085676,60008504,Tatung University,Taiwan
2-s2.0-37249017509,60022904,New Jersey Institute of Technology,United States
2-s2.0-37249087909,60032259,Universita degli Studi di Cagliari,Italy
2-s2.0-37249000969,60006602,"University of Washington, Tacoma",United States
2-s2.0-37249040464,60010065,University of Arizona,United States
2-s2.0-37249006817,60013682,Seoul National University,South Korea
2-s2.0-37249016368,60008734,Vrije Universiteit Amsterdam,Netherlands
2-s2.0-37249063096,60022659,University of Connecticut,United States
2-s2.0-37249064221,60025038,UC Berkeley,United States
2-s2.0-37249064221,60007174,Lawrence Berkeley National Laboratory,United States
2-s2.0-37249025116,60029526,"University of California, Riverside",United States
2-s2.0-37249017997,60002952,Helsingin Yliopisto,Finland
2-s2.0-37249014401,60028897,"University of Ottawa, Canada",Canada
2-s2.0-37249014401,60027090,Virginia Polytechnic Institute and State University,United States
2-s2.0-37249075905,60010365,The University of British Columbia,Canada
2-s2.0-37249000408,60030074,Universidade Federal de Minas Gerais,Brazil
2-s2.0-37249000408,60014652,Hokkaido University,Japan
2-s2.0-37249011265,60027090,Virginia Polytechnic Institute and State University,United States
2-s2.0-37249042751,60003675,Politechnika Warszawska,Poland
2-s2.0-37249012841,60022659,University of Connecticut,United States
2-s2.0-37249047123,60028876,"Inha University, Incheon",South Korea
2-s2.0-37249026752,60030612,"University of California, San Diego",United States
2-s2.0-37249026752,60015457,University of Kansas Lawrence,United States
2-s2.0-37249019523,60027561,University of Illinois at Chicago,United States
2-s2.0-84954348756,60012279,Helmholtz Centre for Infection Research (HZI),Germany
2-s2.0-36248961670,60032053,Tarbiat Modares University,Iran
2-s2.0-36248961670,60077835,Vali-e-Asr University of Rafsanjan,Iran
2-s2.0-42149134851,60030506,Mines ParisTech,France
2-s2.0-42149134851,60015481,"University of Washington, Seattle",United States
2-s2.0-48149107668,60026840,Friedrich Miescher Laboratory of the Max Planck Society,Germany
